phone_e164,phone_pretty,scam_category,total_hits,pdf_count,transcript_count,likely_admin,first_source,first_context
+15162737869,+1 (516) 273-7869,,3,1,0,no,pdf:pointofnoentry-centurylinkceasedesistletter.pdf,CCIRR-Expire attachments/1019377 § 310.4(b)(1)(v) 16 C.F.R. 7/19/2022 7/6/2022 5162737869 Computer-Hijack-P1 § 310.4(b)(1)(v) 16 C.F.R. 7/19/2022 7/6/2022 5162737869 Com
+12065934830,+1 (206) 593-4830,SSA-P1-TexasFraud (GovtImpers),3,1,2,no,pdf:pointofnoentry-idttelecomceasedesistletterfinaljms.pdf,(b)(1)(v) https://portal2.tracebacks.org/api/public 16 C.F.R. 3/8/2021 3/4/2021 2065934830 SSA-P1-TexasFraud (GovtImpers) /attachments/64042 310.4(b)(1)(v) https://portal
+19856022086,+1 (985) 602-2086,SSA-CalltheSSA,3,1,2,no,pdf:pointofnoentry-idttelecomceasedesistletterfinaljms.pdf,)(1)(v) https://portal2.tracebacks.org/api/public 16 C.F.R. 1/23/2021 1/22/2021 9856022086 SSA-CalltheSSA /attachments/28733 310.4(b)(1)(v) https://portal2.tracebacks.org
+15302901397,+1 (530) 290-1397,SSA-CalltheSSA,3,2,1,no,pdf:pointofnoentry-peerlessceasedesistletterfinaljms.pdf,(1)(v) https://portal2.tracebacks.org/api/public/ 16 C.F.R. 1/30/2021 1/27/2021 5302901397 SSA-CalltheSSA attachments/29350 310.4(b)(1)(v) https://portal2.tracebacks.org/
+18886040734,+1 (888) 604-0734,,3,0,3,no,transcript:audio-wav-16khz/872731_normalized.wav,"s qualified for 50% off. In order to avail the discount, kindly call us back at 888-604-0734 from 8am to 5pm Pacific Standard Time. Thank you and have a great day."
+18332054259,+1 (833) 205-4259,,3,0,3,no,transcript:audio-wav-16khz/942968_normalized.wav,"s qualified for 50% off. In order to avail the discount, kindly call us back at 833-205-4259, from 8 a.m. to 5 p.m. Pacific Standard Time. From 8 a.m. to 5 p.m. Pacific Sta"
+18005303097,+1 (800) 530-3097,,3,0,3,no,transcript:audio-wav-16khz/27854_normalized.wav,"ontact Boeing headquarters as soon as possible to avoid service interruption at 1-800-530-3097. Once again, that number is 1-800-530-3097. Once again, that number is 1-800-53"
+13035295186,+1 (303) 529-5186,SSA-CalltheSSA,2,1,1,no,pdf:pointofnoentry-acrobatceasedesistletter.pdf,(v) https://portal.tracebacks.org/api/public/atta 16 C.F.R. 1/26/2021 1/25/2021 3035295186 SSA-CalltheSSA chments/28872 § 310.4(b)(1)(v) https://portal.tracebacks.org/api
+12482029746,+1 (248) 202-9746,SSA-KindlyPressOne,2,1,0,no,pdf:pointofnoentry-akamgtcdletter.pdf,)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 12/8/2021 12/7/2021 2482029746 SSA-KindlyPressOne attachments/584749 § 310.4(b)(1)(v) https://portal.traceback
+12056260450,+1 (205) 626-0450,SSA-P1-TexasFraud (GovtImpers),2,1,0,no,pdf:pointofnoentry-akamgtcdletter.pdf,(b)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 1/7/2021 1/6/2021 2056260450 SSA-P1-TexasFraud (GovtImpers) attachments/27576 § 310.4(b)(1)(v) https://porta
+12536480206,+1 (253) 648-0206,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,/2022 2028586421 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 9/12/2022 9/6/2022 2536480206 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 9/12/2022 9/8/2022 2536480206 Amazo
+12064008163,+1 (206) 400-8163,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2 6/16/2022 7207394498 GovtImpers § 310.4(b)(1)(v) 16 C.F.R. 6/15/2022 6/3/2022 2064008163 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 6/14/2022 6/11/2022 2064159893 Amaz
+12064159893,+1 (206) 415-9893,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 2064008163 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 6/14/2022 6/11/2022 2064159893 Amazon-SuspiciousOrderRefund § 310.4(b)(1)(v) 16 C.F.R. 6/14/2022 6/11/2022 206
+12064830988,+1 (206) 483-0988,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 2062992428 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 6/13/2022 6/10/2022 2064830988 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 6/13/2022 6/9/2022 2064830988 Amazo
+12522282495,+1 (252) 228-2495,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,1/2022 4106566890 Grandparentscam § 310.4(b)(1)(v) 16 C.F.R. 5/18/2022 5/9/2022 2522282495 Tech Support-Lumen § 310.4(b)(1)(v) 16 C.F.R. 5/17/2022 5/9/2022 2522282495 Tec
+16692288500,+1 (669) 228-8500,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,/2022 8602646919 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 5/4/2022 4/26/2022 6692288500 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 5/4/2022 4/26/2022 6692288500 Amazo
+18135740820,+1 (813) 574-0820,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2537800207 Tech-Support-Fraud-G2 § 310.4(b)(1)(v) 16 C.F.R. 4/12/2022 4/5/2022 8135740820 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 4/12/2022 4/5/2022 8135740820 Amazo
+17192153210,+1 (719) 215-3210,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,/2022 2069396700 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 4/5/2022 3/28/2022 7192153210 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 4/4/2022 3/28/2022 7192153210 Amazo
+12137889059,+1 (213) 788-9059,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 8452730096 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/24/2022 2/15/2022 2137889059 Amazon-Impers § 310.4(b)(1)(v) 16 C.F.R. 3/23/2022 3/11/2021 3859992686 Amazon-
+19739876541,+1 (973) 987-6541,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,/16/2022 2137889059 Amazon-Impers § 310.4(b)(1)(v) 16 C.F.R. 3/16/2022 3/9/2022 9739876541 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/16/2022 3/9/2022 9739876541 Amazo
+18059128265,+1 (805) 912-8265,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2022 9739876541 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/10/2022 1/26/2022 8059128265 Amazon-Impers-P2 § 310.4(b)(1)(v) 16 C.F.R. 3/10/2022 1/26/2022 8056786471 Amaz
+13852382730,+1 (385) 238-2730,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,2021 9179089531 Grandparentscam § 310.4(b)(1)(v) 16 C.F.R. 1/24/2022 11/30/2021 3852382730 Amazon-Impers § 310.4(b)(1)(v) 16 C.F.R. 1/24/2022 11/30/2021 3083659581 Amazon
+18784442295,+1 (878) 444-2295,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,10/6/2021 7865889078 ATT-Impers § 310.4(b)(1)(v) 16 C.F.R. 12/7/2021 10/15/2021 8784442295 ATT-Impers § 310.4(b)(1)(v) 16 C.F.R. 12/7/2021 10/14/2021 8784442295 ATT-Imper
+17474777195,+1 (747) 477-7195,,2,1,0,no,pdf:pointofnoentry-bandwidthceasedesistletter.pdf,59002861 Amazon-SuspiciousCharge § 310.4(b)(1)(v) 16 C.F.R. 7/21/2021 7/16/2021 7474777195 Tech-Support-Fraud § 310.4(b)(1)(v) 16 C.F.R. 7/21/2021 7/16/2021 7474777195 Te
+17736828352,+1 (773) 682-8352,Amazon-AuthorizeOrder-P3,2,2,0,no,pdf:pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf,)(1)(v) https://portal2.tracebacks.org/api/public 16 C.F.R. 9/16/2022 9/13/2022 7736828352 Amazon-AuthorizeOrder-P3 /attachments/1037793 310.4(b)(1)(v) https://portal2.tr
+18709003693,+1 (870) 900-3693,Administration Imposter,2,2,0,no,pdf:pointofnoentry-callvoxllcwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Jan 14, 2022 Jan 10, 2022 8709003693 Administration Imposter attachments/635541 § 310.4(b)(1)(v) Social Security htt"
+18008801077,+1 (800) 880-1077,,2,1,0,no,pdf:pointofnoentry-centurylinkceasedesistletter.pdf,rizeOrder-P3 attachments/1331474 § 310.4(b)(1)(v) 16 C.F.R. 5/25/2023 5/24/2023 18008801077 Verizon-Impers-P1 § 310.4(b)(1)(v) 16 C.F.R. 5/25/2023 5/24/2023 18008801077 Ve
+18556523670,+1 (855) 652-3670,Discount-DirecTV50,2,2,0,no,pdf:pointofnoentry-centurylinkceasedesistletter.pdf,)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 5/25/2022 5/24/2022 8556523670 Discount-DirecTV50 attachments/872751 § 310.4(b)(1)(v) https://portal.traceback
+18598843342,+1 (859) 884-3342,Amazon-AuthorizeOrder,2,2,0,no,pdf:pointofnoentry-centurylinkceasedesistletter.pdf,)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 1/18/2022 1/17/2022 8598843342 Amazon-AuthorizeOrder attachments/638981 § 310.4(b)(1)(v) https://portal.traceb
+14044916059,+1 (404) 491-6059,Amazon-AuthorizeOrder,2,2,0,no,pdf:pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf,)(v) https://portal2.tracebacks.org/api/public/at 16 C.F.R. 2/22/2022 2/21/2022 4044916059 Amazon-AuthorizeOrder tachments/707413 310.4(b)(1)(v) https://portal2.traceback
+18137654004,+1 (813) 765-4004,Utility-30MinDisconnect,2,2,0,no,pdf:pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf,v) https://portal2.tracebacks.org/api/public/at 16 C.F.R. 10/15/2021 10/14/2021 8137654004 Utility-30MinDisconnect tachments/520026 310.4(b)(1)(v) https://portal2.traceba
+12149316277,+1 (214) 931-6277,Legal-Enforcement-Notice,2,2,0,no,pdf:pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf,1)(v) https://portal2.tracebacks.org/api/public/at 16 C.F.R. 9/1/2021 8/25/2021 2149316277 Legal-Enforcement-Notice tachments/392276 310.4(b)(1)(v) https://portal2.traceb
+14699055128,+1 (469) 905-5128,CCIRR-P1FinancialImpers,2,2,0,no,pdf:pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf,(1)(v) https://portal2.tracebacks.org/api/public/at 16 C.F.R. 3/8/2021 3/3/2021 4699055128 CCIRR-P1FinancialImpers tachments/63707 310.4(b)(1)(v) https://portal2.tracebac
+13462770043,+1 (346) 277-0043,SSA-Impers,2,1,0,no,pdf:pointofnoentry-didcentralceasedesistletterfinaljms.pdf,(1)(v) https://portal2.tracebacks.org/api/public/ 16 C.F.R. 3/26/2021 3/17/2021 3462770043 SSA-Impers attachments/77599 310.4(b)(1)(v) https://portal2.tracebacks.org/api/
+15624361251,+1 (562) 436-1251,Utility-30MinDisconnect t,2,1,0,no,pdf:pointofnoentry-every1telecomceasedesistletterfinaljms.pdf,1)(v) https://portal2.tracebacks.org/api/public/a 16 C.F.R. 1/13/2023 1/12/2023 5624361251 Utility-30MinDisconnect ttachments/1205451 310.4(b)(1)(v) https://portal2.trace
+18632990800,+1 (863) 299-0800,Utility-30MinDisconnect,2,1,0,no,pdf:pointofnoentry-greatchoicecdletter_0.pdf,1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 11/18/2021 11/11/2021 8632990800 Utility-30MinDisconnect attachments/557776 § 310.4(b)(1)(v) https://portal.trac
+17274432641,+1 (727) 443-2641,Utility-30MinDisconnect,2,2,0,no,pdf:pointofnoentry-greatchoicecdletter_0.pdf,1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 11/15/2021 11/13/2021 7274432641 Utility-30MinDisconnect attachments/559158 § 310.4(b)(1)(v) https://portal.trac
+19018187500,+1 (901) 818-7500,Chinese-PackageDelivery c,2,1,0,no,pdf:pointofnoentry-hfaservsceasedesistletterfinaljms.pdf,(1)(v) https://portal2.tracebacks.org/api/publi 16 C.F.R. 10/24/2022 10/19/2022 9018187500 Chinese-PackageDelivery c/attachments/1094279 310.4(b)(1)(v) https://portal2.tr
+19036039402,+1 (903) 603-9402,Amazon-AuthorizeOrder,2,2,0,no,pdf:pointofnoentry-ibasiscdletter.pdf,)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 1/19/2022 1/17/2022 9036039402 Amazon-AuthorizeOrder attachments/639001 § 310.4(b)(1)(v) https://portal.traceb
+16099343496,+1 (609) 934-3496,CCIRR-P1FinancialImpers,2,1,0,no,pdf:pointofnoentry-idttelecomceasedesistletterfinaljms.pdf,(b)(1)(v) https://portal2.tracebacks.org/api/public 16 C.F.R. 3/3/2021 3/2/2021 6099343496 CCIRR-P1FinancialImpers /attachments/63408 310.4(b)(1)(v) https://portal2.trace
+13152150306,+1 (315) 215-0306,SSA-P1-TexasFraud (GovtImpers),2,1,0,no,pdf:pointofnoentry-idttelecomceasedesistletterfinaljms.pdf,)(1)(v) https://portal2.tracebacks.org/api/public 16 C.F.R. 1/25/2021 1/22/2021 3152150306 SSA-P1-TexasFraud (GovtImpers) /attachments/28877 310.4(b)(1)(v) https://portal
+18442324133,+1 (844) 232-4133,Discount-DirecTV50,2,2,0,no,pdf:pointofnoentry-inboundcdletter.pdf,)(1)(v) https://portal.tracebacks.org/api/public/ 16 C.F.R. 5/25/2022 5/23/2022 8442324133 Discount-DirecTV50 attachments/872738 § 310.4(b)(1)(v) https://portal.traceback
+19856022013,+1 (985) 602-2013,Administration Imposter,2,1,1,no,pdf:pointofnoentry-inteliquentwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Jan 22, 2021 Jan 21, 2021 9856022013 Administration Imposter attachments/28647 § 310.4(b)(1)(v) Social Security http"
+15043395475,+1 (504) 339-5475,Apple-iCloud-AccountBreached,2,2,0,no,pdf:pointofnoentry-peerlessceasedesistletterfinaljms.pdf,(1)(v) https://portal2.tracebacks.org/api/public/ 16 C.F.R. 2/18/2021 2/17/2021 5043395475 Apple-iCloud-AccountBreached attachments/58345 310.4(b)(1)(v) https://portal2.t
+17706888993,+1 (770) 688-8993,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Dec 28, 2021 Dec 27, 2021 7706888993 Amazon Imposter attachments/615289 § 310.4(b)(1)(v) https://portal.tracebacks.o"
+13479259030,+1 (347) 925-9030,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Dec 17, 2021 Dec 16, 2021 3479259030 Amazon Imposter attachments/605717 § 310.4(b)(1)(v) Page 1 of 4 https://portal."
+19548067165,+1 (954) 806-7165,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"4 https://portal.tracebacks.org/api/public/ 16 C.F.R. Dec 17, 2021 Dec 16, 2021 9548067165 Amazon Imposter attachments/605713 § 310.4(b)(1)(v) https://portal.tracebacks.o"
+12703036569,+1 (270) 303-6569,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Dec 20, 2021 Dec 15, 2021 2703036569 Amazon Imposter attachments/605705 § 310.4(b)(1)(v) https://portal.tracebacks.o"
+19036761572,+1 (903) 676-1572,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Dec 14, 2021 Dec 10, 2021 9036761572 Amazon Imposter attachments/595123 § 310.4(b)(1)(v) Social Security https://por"
+16015245186,+1 (601) 524-5186,SSA-P1-TexasFraud (GovtImpers),2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 23, 2021 Nov 22, 2021 6015245186 Administration Imposter attachments/568815 § 310.4(b)(1)(v) https://portal.trac"
+19043779570,+1 (904) 377-9570,Utility Disconnection,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 29, 2021 Nov 17, 2021 9043779570 Utility Disconnection attachments/567518 § 310.4(b)(1)(v) https://portal.traceb"
+15126920482,+1 (512) 692-0482,SSA-P1-TexasFraud (GovtImpers),2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 16, 2021 Nov 15, 2021 5126920482 Administration Imposter attachments/560668 § 310.4(b)(1)(v) Social Security htt"
+18125370834,+1 (812) 537-0834,SSA-P1-TexasFraud (GovtImpers),2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 16, 2021 Nov 15, 2021 8125370834 Administration Imposter attachments/560659 § 310.4(b)(1)(v) Social Security htt"
+14236125075,+1 (423) 612-5075,SSA-P1-TexasFraud (GovtImpers),2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 16, 2021 Nov 15, 2021 4236125075 Administration Imposter attachments/560658 § 310.4(b)(1)(v) https://portal.trac"
+17603213172,+1 (760) 321-3172,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Nov 04, 2021 Nov 02, 2021 7603213172 Amazon Imposter attachments/549509 § 310.4(b)(1)(v) Social Security https://por"
+12524400188,+1 (252) 440-0188,Administration Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Oct 06, 2021 Oct 04, 2021 2524400188 Administration Imposter attachments/490977 § 310.4(b)(1)(v) https://portal.trac"
+15025653945,+1 (502) 565-3945,Amazon Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,") https://portal.tracebacks.org/api/public/ 16 C.F.R. Oct 01, 2021 Sep 30, 2021 5025653945 Amazon Imposter attachments/487121 § 310.4(b)(1)(v) U.S. Customs and Border htt"
+14434615664,+1 (443) 461-5664,Protection Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"r https://portal.tracebacks.org/api/public/ 16 C.F.R. Sep 16, 2021 Sep 14, 2021 4434615664 Protection Imposter attachments/453388 § 310.4(b)(1)(v) Law Enforcement Agency"
+15705162573,+1 (570) 516-2573,Legal-Enforcement-Notice,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"y https://portal.tracebacks.org/api/public/ 16 C.F.R. Sep 07, 2021 Sep 06, 2021 5705162573 Imposter attachments/431150 § 310.4(b)(1)(v) https://portal.tracebacks.org/api/"
+12483770000,+1 (248) 377-0000,Protection Imposter,2,2,0,no,pdf:pointofnoentry-rscomwarningletter.pdf,"r https://portal.tracebacks.org/api/public/ 16 C.F.R. Aug 23, 2021 Aug 17, 2021 2483770000 Protection Imposter attachments/373798 § 310.4(b)(1)(v) https://portal.tracebac"
