file_name,language,transcript,case_details,case_pdf
audio-wav-16khz/500510_normalized.wav,en,We would like to inform you that there is an order placed for Apple iPhone 12 Pro using your Amazon account. If you do not authorize this order then press 1 or press 2 to authorize the order. ,cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/274452_normalized.wav,en,"Hello, this is Mary Marcello regarding your COVID-19 relief payment, and you can reach me at my state assigned phone number, 855-228-4781, and it's my job to make you aware that because you qualified for a relief payment, you also qualify for the new debt relief program. The primary focus of this program is to provide student loan debt relief by either significantly reducing the amount you owe or eliminating it altogether. This was just passed by the Biden administration, actively known as BidenCare. We see that you have not enrolled in this free program, so please give me a call and I will make sure your form is submitted. It takes five minutes. Your state assigned phone number is 855-228-4781. And this call has been marked complete by State Agent Mary Marcello, agent number 5568. Talk with you soon. Take care. ",cease-desist-letter-peerless-network-inc,pdf_files/pointofnoentry-peerlessceasedesistletterfinaljms.pdf
audio-wav-16khz/635443_normalized.wav,en,"Next from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/587263_normalized.wav,en,"Hi, this is Melanie. I'm giving you a call from the dealer service center. We recently noticed your car's extended warranty would expire and wanted to provide you with one final courtesy call before your warranty expires and your warranty coverage becomes voided. This would make you financially responsible for all service repairs. If you wish to extend or reinstate your car's warranty, press 4 now or press 9 to discontinue coverage and discontinue receiving these reminders. ",cease-desist-letter-did-central-llc,pdf_files/pointofnoentry-didcentralceasedesistletterfinaljms.pdf
audio-wav-16khz/651815_normalized.wav,en,"AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/482002_normalized.wav,en,"suspicious, and fraudulent activities carried out using your identities. The court has issued a suspension notice, along with a warrant against your name. Ignoring this message would be an intentional second attempt to avoid an initial appearance before the magistrate judge, or the exempt jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available agent. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/1155333_normalized.wav,zh,"And no one has signed for it For English inquiries, please press 1 And Chinese, please press 2 Sydex 国际快递最后一次通知您 We have an email that has been sent twice and no one has signed If you want to check it, please press 1 And Chinese, please press 2 ",cease-desist-letter-business-telecommunications-services-inc,pdf_files/pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/27991_normalized.wav,en,to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ,warning-letter-inteliquent-inc,pdf_files/pointofnoentry-inteliquentwarningletter.pdf
audio-wav-16khz/582925_normalized.wav,en,"being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1. ",cease-desist-letter-cherry-voice-inc,pdf_files/pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf
audio-wav-16khz/525133_normalized.wav,en,Department of Social Security Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. ,warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/1211775_normalized.wav,en,"Hello, this call is from Amazon. We have gone through your account, and we found that your Amazon account has been used for shopping purpose, as we can see multiple orders placed from your Amazon account. Now, to confirm your order, press 2, or press 1 to talk to our representative. ",cease-desist-letter-business-telecommunications-services-inc,pdf_files/pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/942979_normalized.wav,en,"Hi there, I'm calling you from Spectrum to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-649-1413 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you and have a great day. ",cease-desist-letter-jumpsolinc,pdf_files/pointofnoentry-jumpsolinccdletter.pdf
audio-wav-16khz/447375_normalized.wav,en,"Hi, my name is Jason, calling you from Energy Advocates. How are you today? What I would like to do is tell you a little about the solar program. The benefits, tax rebates, and grants from the government that typically mean going solar is absolutely free for most people. I understand you are the homeowner of a single family regular house, right? Hello? How are you today? ",cease-desist-letter-telcast-network-llc,pdf_files/pointofnoentry-telcastnetworkceasedesistletterfinaljms.pdf
audio-wav-16khz/790368_normalized.wav,en,"call from our department is to inform you that there's a legal enforcement actions filed on your social security number for fraudulent activities. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. Press 1 and you will be connected to the concerned department. ",cease-desist-letter-ibasis-inc,pdf_files/pointofnoentry-ibasiscdletter.pdf
audio-wav-16khz/497288_normalized.wav,en,"Hi, this is the alert system with FISA MasterCard account services with important changes to your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/1116635_normalized.wav,zh,这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 这是DHL国际快递最后语音通知 您有一份重要快件派送均无人签收 了解详情请按9 请按9 由人工客服为您服务 ,cease-desist-letter-cherry-voice-inc,pdf_files/pointofnoentry-cherryvoiceceasedesistletterfinaljms.pdf
audio-wav-16khz/463263_normalized.wav,en,"This is an important call regarding illegal enforcement action being executed under your name for suspicious fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/544702_normalized.wav,en,"your identity. The court has issued a suspension notice along with warrant against your name. Ignoring this message will be an intentional second attempt. To avoid initial appearance before a magistrate, judge, or grand jury for federal criminal offense, this is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/66973_normalized.wav,en,"Before using any financial accounts, please contact Apple Support Advisor. Press 1 to connect with Apple Support Advisor. Press 2 to listen to this message again. Thank you. ",cease-desist-letter-did-central-llc,pdf_files/pointofnoentry-didcentralceasedesistletterfinaljms.pdf
audio-wav-16khz/509676_normalized.wav,en,related to your name. We are trying to reach you but unfortunately we missed your answer. In order to connect our legal department press 1 so that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you then you will face some legal consequences. To connect now press 1 and you will be automatically connect to the concerned department. By this call you have been officially notified. Thank you. ,warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/530083_normalized.wav,en,"Officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas, so please in order go ahead get more information. To speak with Officer press 1. I repeat press 1. Thank you and have a great day. ",warning-letter-global-net-holdings-inc,pdf_files/pointofnoentry-globalnetholdingswarningletter.pdf
audio-wav-16khz/463260_normalized.wav,en,"This is an important call regarding a legal enforcement action being executed under your name for suspicious and fraudulent activities carried out using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will be an intentional second attempt to avoid initial appearance before a magistrate, judge or grand jury for a federal criminal offense. This is the final attempt to reach you. For more information, press 1 and hold for the next available officer. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/535208_normalized.wav,en,"You now qualify for 0% interest rate on all your credit card account. This is the limited time offer, and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ",warning-letter-global-net-holdings-inc,pdf_files/pointofnoentry-globalnetholdingswarningletter.pdf
audio-wav-16khz/638881_normalized.wav,en,"This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. ",cease-desist-letter-hfa-services-llc-also-dba-call48,pdf_files/pointofnoentry-hfaservsceasedesistletterfinaljms.pdf
audio-wav-16khz/711071_normalized.wav,en,"Thank you for connecting. I am the virtual assistant for Margaret Smith with Central Processing Center for Federal Back Tax Negotiations. The purpose of her call was to make you aware that the government suspended the Tax Collection Act and will settle all old tax debts that U.S. residents may have. This means you are not going to need to pay back your past due taxes since they are non-collectible and ready to be settled. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. To use our AI automation and find the program you are interested in, please visit us at www.cdc.gov.au. ",warning-letter-rscom-ltd-0,pdf_files/pointofnoentry-rscomwarningletter.pdf
audio-wav-16khz/1631035650.66108_in_AKA_Management_Robocall__Computer-Hijack_normalized.wav,en,"Hello, this call is from Microsoft Help Center. We encounter a serious issue coming out of your computer. It seems to be someone is trying to hijack your identity and try to steal your social security number and personal information. If it's not fixed right away then your computer will become obsolete and all of your credential information may got compromised. If you are the one who is using Microsoft Windows in your computer, then please press 7 now to speak with security team now. Please ignore if we called you by mistake. Thanks. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/795470_normalized.wav,en,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for App iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/1034902_normalized.wav,zh,"SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. SEDEX International Express will inform you for the last time, that you have a parcel that has been delivered twice, and no one has signed for it. For English inquiries, please press 1, and Chinese please press 2. ",cease-desist-letter-business-telecommunications-services-inc,pdf_files/pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/s6diZGlyX3I3cGRpcjp0b21jYXQ5MzE1OjE2MzQ4NDA2ODIyMTNL98qFNd.gen_Global_Net_Holdings_Robocall__Utility-30MinDisconnect_normalized.wav,en,"Hi, this is an automated message from the Disconnection Department of Pacific Gas and Electric, Electricity Company. This call is to inform you that your power will get disconnected in 30 minutes due to a pending balance on the account. If you need to speak with a representative for further information, please press 1. Thank you for choosing Pacific Gas and Electric. Goodbye. ",warning-letter-global-net-holdings-inc,pdf_files/pointofnoentry-globalnetholdingswarningletter.pdf
audio-wav-16khz/857381_normalized.wav,en,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-family-communication-inc,pdf_files/pointofnoentry-familycommcdletter.pdf
audio-wav-16khz/509601_normalized.wav,en,"We are calling you from the Department of Social Security Administration. The reason you received this phone call from our department is to inform you that there is a legal enforcement action filed on your Social Security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/947222_normalized.wav,en,"calling you from the legal department, the very second you receive this message you need to leave your work aside, so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department. ",cease-desist-letter-ibasis-inc,pdf_files/pointofnoentry-ibasiscdletter.pdf
audio-wav-16khz/431124_normalized.wav,en,"We are calling you from the Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that there is illegal information filed on your social security for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/872731_normalized.wav,en,"Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 888-604-0734 from 8am to 5pm Pacific Standard Time. Thank you and have a great day. ",cease-desist-letter-telecommunications-firm-llc,pdf_files/pointofnoentry-telecomfirmcdletter.pdf
audio-wav-16khz/823634_normalized.wav,en,"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/530057_normalized.wav,en,"trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the South border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. ",warning-letter-global-net-holdings-inc,pdf_files/pointofnoentry-globalnetholdingswarningletter.pdf
audio-wav-16khz/1098320_normalized.wav,en,"Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye. ",cease-desist-letter-peerless-network-inc,pdf_files/pointofnoentry-peerlessceasedesistletterfinaljms.pdf
audio-wav-16khz/609713_normalized.wav,en,"This is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff. And this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press five now or press nine to be removed from our list. ",warning-letter-inteliquent-inc,pdf_files/pointofnoentry-inteliquentwarningletter.pdf
audio-wav-16khz/1159022_normalized.wav,en,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-every1-telecom,pdf_files/pointofnoentry-every1telecomceasedesistletterfinaljms.pdf
audio-wav-16khz/537327_normalized.wav,en,Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you. ,warning-letter-whisl-telecom-llc,pdf_files/pointofnoentry-whisltelecomwarningletter_1.pdf
audio-wav-16khz/702997_normalized.wav,en,"is to inform you that there is a legal enforcement actions files on your social security number for illegal and fraudulent activity. In order to connect a federal agent, press 1 and you will be connected to the concerned department. If we don't hear from you, your social will be blocked permanently. So once you receive this message, press 1 and talk to the officer from Social Security Administration. Thank you. ",cease-desist-letter-matrix-telecom-llc,pdf_files/pointofnoentry-matrixtelecomcdletter.pdf
audio-wav-16khz/196673_normalized.wav,en,"Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now. ",warning-letter-callvox-llc,pdf_files/pointofnoentry-callvoxllcwarningletter.pdf
audio-wav-16khz/1208904_normalized.wav,en,"Hi there, I'm calling you from Comcast Xfinity to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 844-264-1142 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you, and have a great day. ",cease-desist-letter-did-central-llc,pdf_files/pointofnoentry-didcentralceasedesistletterfinaljms.pdf
audio-wav-16khz/584754_normalized.wav,en,"from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you. ",warning-letter-global-net-holdings-inc,pdf_files/pointofnoentry-globalnetholdingswarningletter.pdf
audio-wav-16khz/1181985_normalized.wav,zh,"Sydex国际快递最后一次通知您,您有一个快件已派送两次无人签收,如需查询英文请按1,中文请按2。 ",cease-desist-letter-every1-telecom,pdf_files/pointofnoentry-every1telecomceasedesistletterfinaljms.pdf
audio-wav-16khz/27570_normalized.wav,en,Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. ,cease-desist-letter-peerless-network-inc,pdf_files/pointofnoentry-peerlessceasedesistletterfinaljms.pdf
audio-wav-16khz/188142_normalized.wav,en,"This message is provided by the Administration of Energy Saving. The state has now set aside $1.3 billion. Your home is eligible for up to $10,000 to use for clean energy upgrades for exterior paint, new windows, HVAC, drought collar landscaping, cool roof, and solar. To find out how much your home is qualified for, press 1. If your home has already been qualified, press 9. ",cease-desist-letter-did-central-llc,pdf_files/pointofnoentry-didcentralceasedesistletterfinaljms.pdf
audio-wav-16khz/543076_normalized.wav,en,name is officer Amanda Barnes and the purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas so please in order go ahead get more information to speak with officer press one I repeat press one thank you and have a great day ,cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/453389_normalized.wav,en,"This call is from U.S. Customs and Border Protection. The reason of this call is to inform you about a package has been seized under your name by U.S. Customs and Border Protection with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer. I repeat press 1 to speak with CBP officer. Thank you. Goodbye. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/547592_normalized.wav,en,"How are you doing today? Glad to hear that. Well, DirecTV is offering 50% discount to all of its existing customers. Do you have a moment to speak so I can go ahead and apply the discounts on your account? ",warning-letter-inteliquent-inc,pdf_files/pointofnoentry-inteliquentwarningletter.pdf
audio-wav-16khz/1006864_normalized.wav,en,"order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-business-telecommunications-services-inc,pdf_files/pointofnoentry-businesstelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/795456_normalized.wav,en,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-aka-management-inc,pdf_files/pointofnoentry-akamgtcdletter.pdf
audio-wav-16khz/557684_normalized.wav,en,"12 Pro using your Amazon account if you do not authorize this order and to refund your amount press 1, or press 2 to authorize this order. ",cease-desist-letter-family-communication-inc,pdf_files/pointofnoentry-familycommcdletter.pdf
audio-wav-16khz/841748_normalized.wav,en,"Hi there, I'm calling you from AT&T Direct TV to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 855-457-7745 from 8 a.m. till 9 p.m. Pacific Standard Time. Thank you and have a great day. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
audio-wav-16khz/797786_normalized.wav,en,"Hello, this call is from So, Shell, C, Cure, T, Noom, Burr. We have found some Sooths, P, C, Us, Act, T, Witty under your name. Please press 1 now to speak with presenters. Thank you. ",cease-desist-letter-range-inc-also-dba-range-telecom,pdf_files/range-telecom.pdf
audio-wav-16khz/567529_normalized.wav,en,"To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. Greetings. This is an automated message from the Disconnection Department of Jersey Central Power and Light Electricity Company. To inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account, please press one to speak with a representative. Please press one. Thank you. ",warning-letter-callvox-llc,pdf_files/pointofnoentry-callvoxllcwarningletter.pdf
audio-wav-16khz/211195_normalized.wav,en,"Hello, I am an artificial intelligent notification bot. The purpose of this call is to make you aware that a recent lawsuit settlement now requires the IRS to settle all old tax debt that any US residents currently have. This means you do not need to pay back your past due taxes as they are temporarily non-collectible and can be forced into a settlement on your behalf. Using our automated approval technology, you are now able to obtain enrollment information based on your current situation. Use our AI automation and find the program you are approved. ",warning-letter-rscom-ltd-0,pdf_files/pointofnoentry-rscomwarningletter.pdf
audio-wav-16khz/1167378_normalized.wav,en,"Hello, this is Amazon. This call is to authorize a payment of $999. We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. ",cease-desist-letter-hfa-services-llc-also-dba-call48,pdf_files/pointofnoentry-hfaservsceasedesistletterfinaljms.pdf
audio-wav-16khz/s6diZGlyX3BiNWRpcjp0b21jYXQ0NzY3OjE2MTkxMTc0ODUzOTd652aDjV.gen_iBasis_Robocall__SSA-P1-BenefitsCanceled__GovtImpers__normalized.wav,en,"Due to some suspicious activities related to your social security number, we are forced to suspend your social security number with immediate effect. In case you feel this is an error, you may connect to the legal department of social security administration. In order to connect a social security administration officer, press 1. In case we do not hear from you, your social will be blocked permanently. To connect now, press 1, and you will be automatically connected to the concerned department. ",cease-desist-letter-ibasis-inc,pdf_files/pointofnoentry-ibasiscdletter.pdf
audio-wav-16khz/582998_normalized.wav,en,"Hi, this call is from PayPal, we've noticed, unusual login activity from four different devices and locations you don't usually use. Multiple transaction of $499 for Google Play gift card, has been processed, and it will be deducted from your account soon. Was this you? If you haven't authorize these transaction then press 1 to speak to one of our representatives, thank you. ",warning-letter-callvox-llc,pdf_files/pointofnoentry-callvoxllcwarningletter.pdf
audio-wav-16khz/373798_normalized.wav,en,"been seized under your name by U.S. Customs and Border Protection, with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with the CBP officer, I repeat press 1 to speak with CBP officer. Thank you. ",warning-letter-rscom-ltd-0,pdf_files/pointofnoentry-rscomwarningletter.pdf
audio-wav-16khz/66151_normalized.wav,en,"to inform you that your social security number is going to be suspended for committing some fraudulent and suspicious activity in the state of Texas. So to find out more information and to resolve it, kindly press 1. ",cease-desist-letter-telcast-network-llc,pdf_files/pointofnoentry-telcastnetworkceasedesistletterfinaljms.pdf
audio-wav-16khz/1205449_normalized.wav,en,"This is the notifications department from your electric company service provider. You have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing your services. ",cease-desist-letter-every1-telecom,pdf_files/pointofnoentry-every1telecomceasedesistletterfinaljms.pdf
audio-wav-16khz/48761_normalized.wav,en,6% on your credit card. Please press 1 to speak with a live operator and get the confirmation code. ,cease-desist-letter-idt-telecom-inc,pdf_files/pointofnoentry-idttelecomceasedesistletterfinaljms.pdf
audio-wav-16khz/576026_normalized.wav,en,"My name is officer Amanda Barnes and the purpose of the call, we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead, get more information to speak with officer press one. I repeat press one. Thank you and have a great day. ",cease-desist-letter-great-choice-telecom-llc,pdf_files/pointofnoentry-greatchoicecdletter_0.pdf
